iter	Passed	Remaining
0	609	609060
1	903	450741
2	1285	427190
3	1840	458359
4	2120	422044
5	2582	427763
6	2980	422763
7	3436	426106
8	3803	418853
9	4208	416629
10	4600	413634
11	4976	409714
12	5374	408079
13	5766	406105
14	6177	405647
15	6625	407491
16	7077	409242
17	7484	408298
18	7869	406292
19	8258	404656
20	8725	406783
21	9200	408992
22	9551	405732
23	9842	400244
24	10143	395578
25	10521	394156
26	10862	391441
27	11443	397267
28	11704	391914
29	12304	397845
30	12763	398959
31	13169	398376
32	13508	395850
33	13995	397647
34	14354	395782
35	14724	394301
36	15200	395611
37	15579	394407
38	16029	394985
39	16435	394443
40	16894	395177
41	17331	395312
42	17728	394567
43	18123	393765
44	18555	393779
45	19063	395350
46	19533	396072
47	19954	395757
48	20356	395090
49	20788	394978
50	21182	394169
51	21670	395071
52	22050	393988
53	22411	392622
54	22830	392274
55	23240	391766
56	23690	391940
57	24080	391097
58	24429	389636
59	24747	387710
60	25089	386206
61	25479	385476
62	25906	385304
63	26375	385745
64	26946	387613
65	27403	387797
66	27872	388141
67	28266	387419
68	28732	387683
69	29107	386711
70	29475	385668
71	29875	385062
72	30316	384974
73	30752	384818
74	31208	384910
75	31674	385096
76	32051	384197
77	32489	384038
78	32887	383408
79	33292	382859
80	33720	382576
81	34163	382461
82	34523	381416
83	34993	381590
84	35296	379958
85	35756	380017
86	36243	380348
87	36648	379813
88	37100	379754
89	37459	378761
90	37944	379026
91	38291	377919
92	38670	377141
93	39089	376760
94	39606	377307
95	40044	377090
96	40399	376091
97	40711	374714
98	41104	374093
99	41478	373305
100	41858	372583
101	42192	371455
102	42643	371366
103	43109	371408
104	43534	371083
105	43918	370407
106	44325	369935
107	44750	369606
108	45149	369063
109	45663	369456
110	46141	369545
111	46670	370027
112	47067	369457
113	47420	368551
114	47893	368572
115	48274	367883
116	48659	367235
117	49134	367260
118	49522	366633
119	49926	366125
120	50364	365872
121	50892	366257
122	51260	365491
123	51652	364903
124	52006	364045
125	52451	363827
126	52751	362616
127	53185	362323
128	53616	362015
129	53983	361272
130	54389	360800
131	54796	360326
132	55191	359780
133	55607	359376
134	55987	358732
135	56434	358525
136	56822	357941
137	57245	357576
138	57584	356691
139	57968	356092
140	58378	355654
141	58839	355525
142	59284	355292
143	59671	354714
144	60042	354041
145	60454	353615
146	60802	352817
147	61223	352451
148	61661	352175
149	62054	351640
150	62498	351397
151	62913	350993
152	63311	350489
153	63650	349666
154	64080	349342
155	64498	348955
156	64912	348542
157	65319	348094
158	65640	347193
159	66083	346939
160	66502	346557
161	66916	346148
162	67389	346042
163	67772	345473
164	68133	344797
165	68563	344470
166	68956	343958
167	69369	343542
168	69826	343347
169	70253	343002
170	70690	342705
171	71096	342255
172	71606	342304
173	71981	341703
174	72403	341329
175	72762	340658
176	73224	340472
177	73554	339675
178	73952	339191
179	74378	338837
180	74797	338449
181	75141	337725
182	75579	337424
183	75980	336957
184	76337	336296
185	76690	335622
186	77163	335473
187	77556	334978
188	77948	334477
189	78275	333698
190	78641	333093
191	79058	332703
192	79533	332557
193	79945	332145
194	80354	331719
195	80736	331182
196	81139	330736
197	81519	330197
198	81971	329946
199	82354	329419
200	82809	329179
201	83212	328730
202	83620	328302
203	84030	327885
204	84410	327348
205	84818	326921
206	85205	326414
207	85605	325960
208	85992	325456
209	86410	325066
210	86814	324629
211	87245	324288
212	87624	323758
213	88030	323326
214	88411	322803
215	88844	322471
216	89218	321927
217	89783	322066
218	90235	321798
219	90612	321263
220	90919	320482
221	91381	320248
222	91853	320044
223	92252	319588
224	92682	319241
225	93076	318767
226	93433	318166
227	93823	317683
228	94230	317255
229	94585	316656
230	94925	316006
231	95306	315498
232	95730	315128
233	96145	314732
234	96566	314355
235	97061	314216
236	97501	313898
237	97917	313499
238	98329	313092
239	98764	312752
240	99261	312611
241	99655	312145
242	100024	311600
243	100404	311090
244	100888	310902
245	101359	310670
246	101768	310249
247	102156	309764
248	102577	309381
249	103040	309120
250	103367	308454
251	103784	308058
252	104212	307695
253	104639	307328
254	105066	306959
255	105618	306953
256	105933	306259
257	106402	306011
258	106860	305728
259	107289	305361
260	107648	304797
261	108117	304544
262	108432	303859
263	108820	303377
264	109173	302801
265	109563	302328
266	109994	301971
267	110435	301637
268	110870	301288
269	111274	300853
270	111760	300639
271	112234	300391
272	112659	300012
273	113124	299738
274	113554	299370
275	113930	298860
276	114329	298412
277	114729	297967
278	115137	297541
279	115534	297087
280	115939	296657
281	116329	296187
282	116728	295738
283	117118	295270
284	117533	294865
285	117973	294520
286	118363	294052
287	118725	293516
288	119149	293133
289	119602	292820
290	120016	292410
291	120341	291787
292	120813	291518
293	121229	291115
294	121629	290673
295	122043	290265
296	122384	289684
297	122731	289118
298	123190	288817
299	123672	288568
300	124107	288209
301	124441	287617
302	124839	287172
303	125296	286862
304	125697	286424
305	126122	286042
306	126529	285618
307	126836	284969
308	127302	284679
309	127808	284477
310	128252	284136
311	128651	283693
312	128979	283094
313	129510	282944
314	129946	282582
315	130295	282032
316	130673	281545
317	131057	281073
318	131457	280634
319	131875	280235
320	132300	279849
321	132691	279393
322	133082	278938
323	133082	278938
324	133479	278083
325	133973	277840
326	134403	277465
327	134801	277023
328	135217	276618
329	135543	276030
330	135923	275554
331	136329	275130
332	136625	274485
333	137036	274073
334	137435	273635
335	137778	273089
336	138160	272620
337	138566	272198
338	138990	271812
339	139371	271343
340	139787	270942
341	140170	270475
342	140576	270054
343	141037	269740
344	141479	269387
345	141877	268950
346	142246	268460
347	142662	268056
348	143108	267712
349	143586	267423
350	144068	267143
351	144506	266781
352	144961	266449
353	145502	266273
354	145890	265817
355	146288	265379
356	146720	265002
357	147097	264528
358	147454	264017
359	147858	263592
360	148326	263280
361	148708	262815
362	149207	262555
363	149584	262081
364	150010	261694
365	150457	261342
366	150924	261025
367	151376	260680
368	151761	260222
369	152177	259814
370	152619	259453
371	152970	258936
372	153411	258573
373	153895	258280
374	154272	257807
375	154696	257415
376	155100	256987
377	155474	256511
378	155863	256061
379	156298	255685
380	156672	255210
381	157064	254765
382	157486	254369
383	157855	253888
384	158242	253435
385	158667	253043
386	159043	252574
387	159451	252156
388	159758	251578
389	160207	251224
390	160630	250831
391	161040	250415
392	161460	250016
393	161813	249514
394	162217	249089
395	162616	248659
396	162995	248196
397	163346	247693
398	163737	247251
399	164191	246904
400	164703	246643
401	165083	246184
402	165431	245677
403	165890	245337
404	166341	244982
405	166898	244785
406	167317	244382
407	167675	243891
408	168079	243467
409	168475	243033
410	168904	242645
411	169347	242278
412	169754	241858
413	170106	241362
414	170447	240849
415	170908	240507
416	171327	240105
417	171766	239731
418	172279	239459
419	172641	238978
420	172997	238489
421	173430	238107
422	173800	237637
423	174196	237203
424	174613	236799
425	174993	236344
426	175473	236024
427	175792	235488
428	176246	235133
429	176692	234766
430	177045	234276
431	177413	233807
432	177835	233408
433	178241	232989
434	178661	232589
435	179101	232214
436	179506	231793
437	179876	231328
438	180328	230968
439	180730	230545
440	181190	230194
441	181598	229777
442	181993	229344
443	182368	228887
444	182765	228457
445	183218	228097
446	183573	227614
447	183988	227207
448	184491	226908
